Dc,English equivalent,Comment
0,,
1,,
2,[begin separator],
3,[end separator],
4, to ,
5, and ,
6,,Beginning of a number: not indicated in English
7,,End of a number: not indicated in English
8,[unknown value],
9,Gregorian calendar date ,
10,,"Numbers are assumed positive when given unqualified in English (and everywhere else, as far as I know, incidentally)"
11,negative ,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,This sentence marks and forms the beginning of a document.,
236,This sentence marks and forms the end of a document.,
237,,
238,,
239,,
240,,
241,The document henceforth shall be understood in the Document mode.,
242,The document henceforth shall be understood in the Library mode.,
243,The document henceforth shall be understood in the Structured mode.,
244,The document henceforth shall be understood in the Terminal mode.,
245,The document henceforth shall be understood in the Web mode.,
246,"Here, a single-line source comment begins, on the current line when represented as source code.",
247,"Here, a single-line source comment begins, on a new line when represented as source code.",
248,"Here, a single-line source comment ends.",
249,"Here, a block source comment begins, on the current line when represented as source code.",
250,"Here, a block source comment begins, on the next line when represented as source code.",
251,"Here, a block source comment ends.",
252,A line break that would normally be present at this point in source form should be instead represented by joining the preceding line with the subsequent line.,
253,The current logical line should be split into two physical lines in source form at this point.,
254,The following logical block of statements should be bundled onto a single line of the source.,
255,,
256,Let the following text be considered as if it were sent to the current output context.,
257,,
258,A parameter begins here.,
259,A parameter ends here.,
260,A literal value begins here.,
261,A literal value ends here.,
262,A type definition begins here.,
263,A type definition ends here.,
264,The type identifier is a String.,
265,Invoke the routine with the following name: ,
266,Here lies a division between blocks of programmatic statements.,
267,,
268,Assign to the following identifier the subsequent value: ,
269,,
270,An identifier begins here.,
271,An identifier ends here.,
272,"At this point, an indented block is left and interpretation of this document shall return to the enclosing block.",
273,The following parameter is optional.,
274,The following parameter is slurpy.,
275,"The type identifier is an Object, or any subtype of Object.",
276,Here is a reference to the object with the following name: ,
277,Here is a reference to the list element with the following key: ,
278,The type identifier is a Number.,
279,Invoke the following routine: ,
280,,
281,,
282,,
283,,
284,,
285,,
286,,
287,,
