Source,Dc sequence,Comments
0,0,
1,208,
2,209,
3,210,
4,211,
5,212,
6,213,
7,214,
8,116,
9,117,
0A,120,
0B,118,
0C,193,
0D,121,
0E,215,
0F,216,
10,217,
11,218,
12,219,
13,220,
14,221,
15,222,
16,223,
17,224,
18,225,
19,226,
1A,227,
1B,228,
1C,229,
1D,230,
1E,231,
1F,232,
20,18,
21,19,
22,20,
23,21,
24,22,
25,23,
26,24,
27,25,
28,26,
29,27,
2A,28,
2B,29,
2C,30,
2D,233,
2E,238,
2F,33,
30,34,
31,35,
32,36,
33,37,
34,38,
35,39,
36,40,
37,41,
38,42,
39,43,
3A,44,
3B,45,
3C,46,
3D,47,
3E,48,
3F,49,
40,1,
41,50,
42,51,
43,52,
44,53,
45,54,
46,55,
47,56,
48,57,
49,58,
4A,59,
4B,60,
4C,61,
4D,62,
4E,63,
4F,64,
50,65,
51,66,
52,67,
53,68,
54,69,
55,70,
56,71,
57,72,
58,73,
59,74,
5A,75,
5B,76,
5C,77,
5D,78,
5E,79,
5F,80,
60,81,
61,82,
62,83,
63,84,
64,85,
65,86,
66,87,
67,88,
68,89,
69,90,
6A,91,
6B,92,
6C,93,
6D,94,
6E,95,
6F,96,
70,97,
71,98,
72,99,
73,100,
74,101,
75,102,
76,103,
77,104,
78,105,
79,106,
7A,107,
7B,108,
7C,109,
7D,110,
7E,111,
7F,234,
