This page documents the various revisions of the Ember Media Library.

^ Revision  ^ Date    ^ Notes       ^ Keys         ^
| 1 | 2015-04-01a02 |  | 828C635B-5A70-42DC-A5E8-E3229300FA2A.68C27D2E-0D29-4842-93A1-78D2DF024AB5 2015.04.02-01.29.50.-0400 |
| 2 | 2015-04-01a02 |  | 828C635B-5A70-42DC-A5E8-E3229300FA2A.392DDC4E-D385-4D53-B50D-6854B5C73AE4 2015.04.02-01.30.34.-0400 |
| 3 | 2015-04-01a02 | The Meta folder | 828C635B-5A70-42DC-A5E8-E3229300FA2A.9ED14D3A-8766-46D5-BF0F-D0A19F6CB1EA 2015.04.02-01.33.54.-0400 |
| 4–8 | 2015-04-01a02 | Failed |  |
| 9 | 2015-04-01a02 |  | 828C635B-5A70-42DC-A5E8-E3229300FA2A.5B388D59-4AA9-48E2-A9A1-57C4D973B5FE 2015.04.02-02.01.28.-0400 |
| 10 | 2015-04-01a02 | Should include everything from revisions 4–7 | 828C635B-5A70-42DC-A5E8-E3229300FA2A.4F8E55E0-EE54-4F30-9B41-8F368B21ACFD 2015.04.02-02.04.30.-0400 |
| [10b] | 2015-04-01a02 | Cancelled |  |
| 11 | 2015-04-02 | Meta | 828C635B-5A70-42DC-A5E8-E3229300FA2A.F4D51A4D-219F-4C46-90EF-E0328D84D7DD 2015.04.02-12.51.51.-0400 |
| 12 | 2015-04-02 |  | 828C635B-5A70-42DC-A5E8-E3229300FA2A.3869C3BB-7C28-4D87-AB2A-CC94BE071636 2015.04.02-13.34.03.-0400 |
| 13 | 2015-04-02 | Some Futuramerlin Projects incl. Writing | 828C635B-5A70-42DC-A5E8-E3229300FA2A.F4F6D127-0ADC-4F6D-AB9B-23C8252242CD 2015.04.02-13.37.19.-0400 |
| 14 | 2015-04-02 | Futuramerlin Projects incl. Software and Knowledgebase | 828C635B-5A70-42DC-A5E8-E3229300FA2A.6D15D299-BFA0-4B4F-B554-B489FCD999B4 2015.04.02-13.41.06.-0400 |
| 15 | 2015-04-02 | Futuramerlin Projects incl. Video and Music | 828C635B-5A70-42DC-A5E8-E3229300FA2A.AE7C27C5-4078-4333-B1B5-84C0DFEB514D 2015.04.02-15.01.11.-0400 |
| 16 | 2015-04-03a04 |  | 828C635B-5A70-42DC-A5E8-E3229300FA2A.9C0A9D8C-ED05-4D4D-9F11-EC02069CAC2F 2015.04.04-02.26.52.-0400 |
| 17 | 2015-04-03a04 |  | 828C635B-5A70-42DC-A5E8-E3229300FA2A.141A9085-0EB3-481F-A0C5-A1D6B2C5EDD2 2015.04.04-02.32.39.-0400 |
| [17b] | 2015-04-03a04 | Failed |  |
| 18 | 2015-04-04 | Creative Works except for Film and Video Series | 828C635B-5A70-42DC-A5E8-E3229300FA2A.D3517237-64AB-4A82-AB2F-0253973D90A6 2015.04.04-21.31.25.-0400 |
| 19 | 2015-04-05 | Reference: Arts | 828C635B-5A70-42DC-A5E8-E3229300FA2A.04284483-9673-4E3B-B0C9-E325787D8445 2015.04.05-18.12.23.-0400 |
| 20 | 2015-04-05 | Reference: General Reference Works (empty), Indices, Skills | 828C635B-5A70-42DC-A5E8-E3229300FA2A.C46EAEC4-5306-4DC6-AF94-3A0852937230 2015.04.05-18.24.55.-0400 |
| 21 | 2015-04-05 | Reference: Data | 828C635B-5A70-42DC-A5E8-E3229300FA2A.7CA92B18-414E-4A21-92D7-6235CA803853 2015.04.05-18.30.54.-0400 |
| 22 | 2015-04-05a06 | Creative Works: Film, and Reference: Humanities and Sciences | 828C635B-5A70-42DC-A5E8-E3229300FA2A.F40CD498-0E11-42AC-B4FB-E7EB2DA96BC0 2015.04.06-00.58.57.-0400 |
| 23 | 2015-04-06 | Reference: Software | 828C635B-5A70-42DC-A5E8-E3229300FA2A.E850F4A4-6A06-4204-B91E-F47CD7F9B3C2 2015.04.06-17.45.27.-0400 |
| 24 | 2015-04-12 | Updates, especially to Futuramerlin Software | 828C635B-5A70-42DC-A5E8-E3229300FA2A.FBDB0F22-F0D6-4249-99AB-9354E973BF53 2015.04.12-21.38.38.-0400 |
| 25 | 2015-04-13a14 | Music library updates, Genocyber, and Trinity Blood | 828C635B-5A70-42DC-A5E8-E3229300FA2A.22CAA2D9-B895-4050-8078-94CF6BC4C232 2015.04.14-02.03.45.-0400 |
| 26 | 2015-04-15 | Music library updates | 828C635B-5A70-42DC-A5E8-E3229300FA2A.22D0C7AE-ADA6-4FC3-991D-528B9F49FA93 2015.04.15-23.53.12.-0400 |
| 27 | 2015-04-16a17 | Music library updates: removed a bunch, and eps. 1–3 of [[Dragon Ball EX]] | 828C635B-5A70-42DC-A5E8-E3229300FA2A.8CE5BBF7-65CB-4306-9E96-4445165C0863 2015.04.17-03.56.48.-0400 |
| 28 | 2015-04-20 | DCE versions through 3.03a (!), frozen RotMG playlists, and Confucian texts. Failed but available. | 828C635B-5A70-42DC-A5E8-E3229300FA2A.BBB8B95E-D691-4477-AF30-21EF8975F433 2015.04.20-18.23.57.-0400 |
| 29 | 2015-04-20 | Reattempt of 28: DCE versions through 3.03a (!), frozen RotMG playlists, and Confucian texts, as well as complete Fracture / /Active SVN repository working copy | 828C635B-5A70-42DC-A5E8-E3229300FA2A.E50C0990-1CAE-4AFB-93D6-0E4F53D81C8D 2015.04.20-18.41.15.-0400 |
| 30 | 2015-04-20a21 | HON212 Paper 2; quotations | 828C635B-5A70-42DC-A5E8-E3229300FA2A.F3A59D64-3042-452F-8353-1DFD05F16895 2015.04.21-00.41.55.-0400 |
| -- | 2015-06-29 | (not in Patche, Patche currently outdated) | Move ./Creative works to ./Creative Works |
